action;période;cabinet;budget estimé;clients;"score" de l'action;représentants visés;secteurs;classif

PPL vente illicite de tabac : étendre les compétences de la sûreté ferroviaire à la lutte contre les trafics de tabac;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Député, sénateur, collaborateur, agents des services des assemblées'];['Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PJL Douanes : évaluer les dépenses engagées par l’Etat et les collectivités territoriales dans le cadre de la lutte contre les trafics de tabac;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Député, sénateur, collaborateur, agents des services des assemblées'];['Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Cahier des charges de la filière REP pour les filtres du tabac contenant du plastique: explication du budget voté par l'éco-organisme Alcome pour l'année 2023 en réponse au cahier des charges;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;30405.4€;['PHILIP MORRIS FRANCE'];10;['Député, sénateur, collaborateur, agents des services des assemblées', 'Membre du Gouvernement ou membre de cabinet ministériel'];['Environnement'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Calendrier d'homologation des prix du tabac pour 2024: réinstaurer davantage de créneaux d'homologation par rapport au calendrier prévu par les Douanes;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Agent de l’État, d’un centre hospitalier, ou d’une collectivité territoriale'];['Pouvoirs publics et institutions'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Présenter des résultats de recherches scientifiques françaises et internationales sur les produits émergents de la nicotine et du tabac afin d'encourager les autorités de santé à davantage les évaluer;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;30405.4€;['PHILIP MORRIS FRANCE'];10;['Député, sénateur, collaborateur, agents des services des assemblées', 'Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Santé'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
DADDUE : conserver une différenciation réglementaire entre les produits combustibles et les produits sans combustion conformément à la réglementation européenne;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Concurrence, consommation'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PLFSS 2024 : conserver une fiscalité différenciée entre le tabac à chauffer et la cigarette qui tient compte de la différence de nocivité entre les produits;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;30405.4€;['PHILIP MORRIS FRANCE'];10;['Député, sénateur, collaborateur, agents des services des assemblées', 'Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Economie'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PLFSS 2024 : reinstaurer un plafonnement à l'indexation de l’inflation appliquée à la fiscalité du tabac;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Economie'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PPL vente illicite de tabac : garantir l’effectivité des mesures de fermeture administrative;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Député, sénateur, collaborateur, agents des services des assemblées'];['Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PPL vente illicite de tabac : permettre à la police municipale de sanctionner l’achat à la sauvette de cigarettes;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Député, sénateur, collaborateur, agents des services des assemblées'];['Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
